Finished,ResponseId,UserLanguage,CF2,country,D1,D2,D2 CODINGS,D3,D3_13_TEXT,D7,D7_9_TEXT,Q59,Q59_13_TEXT,Q178,Q179,Q180,C3,C3_16_TEXT,C3_12_TEXT,Q182,Q182_23_TEXT,Q181,Q184,Q57,C4,C4 CODINGS,Q58_1,Q58_2,Q58_3,Q58_4,Q58_5,Q58_6,Q58_7,Q189,Q189_9_TEXT,Q191,Q191 CODINGS,Q192,Q192_9_TEXT,Q195,Q196,Q196_9_TEXT,Q198,Q199,Q199_9_TEXT,Q201,Q202,Q202_9_TEXT,Q204,Q205,Q205_9_TEXT,Q207,Q208_1,Q208_2,Q208_3,Q208_4,Q208_5,Q208_6,Q208_7,Q208_8,Q208_9,Q56_1,Q56_2,Q56_3,Q56_4,Q56_5,Q56_6,Q56_7,Q56_8,Q56_9,Q210,Q185,Q185_21_TEXT,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_9,C2_10,C2_11,C2_12,Q60,Q186_1,Q186_2,Q186_3,Q186_4,Q186_5,Q186_6,Q186_7,Q186_8,Q186_9,Q186_10,Q186_11,Q186_12,Q61
TRUE,57,EN,I agree to participate in the described study.,United States of America,12,Software Analysis,['Software'],"Programmer,Tester,Educator,Researcher",,"Development tools (compilers, programming languages, etc.),Libraries/frameworks",,"Python,Java",,Yes,"2 - Somewhat proficient: I find AI tools occasionally useful, but limited and unreliable",Code Generation,ChatGPT,,,Web interfaces,,A few times per week,Slightly increased productivity,Yes,"Instead of performing a Google search to learn how to use an API, I use AI tools first now.",['Ask AI instead of web search'],Heard of it but don't use,Heard of it but don't use,Never heard of it,Never heard of it,Use regularly,Use occasionally,Never heard of it,Specific libraries or frameworks to use,,,,,,,,,,,,,,,,,,,Sometimes,Often,Sometimes,Often,Never,Often,Never,Rarely,Never,Often,Often,Rarely,Never,Often,Never,Often,Never,Never,Unsure,"Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions)",,Unsure / Haven’t tried,Somewhat unreliable,,,,,,,,,,,,Often,Never,,,,,,,,,,,
TRUE,58,EN,I agree to participate in the described study.,United States of America,40,"military, communication, academic, medical","['Communication', 'Healthcare', 'Research', 'Military / Defense']","Programmer,Educator,Researcher",,"Web applications,Mobile applications,Desktop applications,Libraries/frameworks",,"Python,C++,C,Java,SQL",,Yes,1 - Minimum proficiency: I can access and interact with generative AI tools,Code Generation,"ChatGPT,Copilot",,,IDE plugins/extensions,,Rarely,No noticeable change,No,,,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Implementation alternatives to consider or avoid,,,,,,,,,,,,,,,,,,,Often,Often,Often,Rarely,Sometimes,Often,Never,Rarely,Never,Sometimes,Often,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Never,2-3,"Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions)",,Somewhat reliable,Somewhat reliable,,,,,,,,,,,,Sometimes,Sometimes,,,,,,,,,,,There's a big disparity in correctness when using common languages (e.g. Python) as compared more niche languages (e.g. SQL)
TRUE,59,EN,I agree to participate in the described study.,United States of America,15,aviation & healthcare,"['Healthcare', 'Aviation']","Educator,Researcher,Analyst",,"Web applications,Middleware",,"Python,SQL,Others (please specify)",R,Yes,5 - Maximum proficiency: I can efficiently obtain desired output for any task,"Code Generation,Code Documentation,Code Review","ChatGPT,Claude,Gemini,Copilot",,,"Web interfaces,IDE plugins/extensions",,Multiple times daily,Significantly increased productivity,No,,,Use occasionally,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Use regularly,Use regularly,Use regularly,"Example inputs and expected outputs,Performance or optimization requirements,Implementation alternatives to consider or avoid,Target environment or deployment constraints,Desired code style and naming conventions",,,,,,,,,,,,,"Target audience information and technical level,Examples of desired documentation style,Domain-specific terminology guidelines,Existing documentation that needs updating,Usage examples and scenarios",,,"Code to be reviewed with context,Performance expectations,Previous review feedback,Description of feature or fix purpose",,,Sometimes,Often,Often,Never,Sometimes,Often,Rarely,Sometimes,Sometimes,Often,Sometimes,Never,Rarely,Often,Often,Sometimes,Sometimes,Sometimes,10+,"Designing software and code architectures (e.g. software design, architectural patterns),Implementing new code components (e.g. includes creating data structures, writing functions)",,Somewhat unreliable,Somewhat unreliable,,,,,,,Somewhat unreliable,Somewhat unreliable,Somewhat unreliable,Somewhat unreliable,It depends heavily on the complexity of the task; sometimes it works well but you always need to check it.,Often,Often,,,,,,,Sometimes,Often,Sometimes,Often,
TRUE,60,EN,I agree to participate in the described study.,United States of America,27,"games, graphics, teaching","['Education', 'Gaming', 'Graphics']","Programmer,Researcher",,Desktop applications,,"Python,C++",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,Code Generation,Claude,,,"Web interfaces,Command line tools",,A few times per month,Significantly increased productivity,Yes,I embark on tasks I wouldn't normally take on for lack of time.,"['Facilitates_alternative_focus', 'Saves_time_or_boosts_productivity']",Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Example inputs and expected outputs,,,,,,,,,,,,,,,,,,,Often,Often,Never,Rarely,Often,Sometimes,Never,Never,Never,Often,Often,Sometimes,Never,Often,Never,Rarely,Rarely,Never,10+,"Designing software and code architectures (e.g. software design, architectural patterns),Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions)",,Very reliable,Somewhat reliable,,,,,,,,,,,,Often,Never,,,,,,,,,,,
TRUE,61,EN,I agree to participate in the described study.,United States of America,4,Research artifacts,['Research'],"Programmer,Educator,Researcher",,"Development tools (compilers, programming languages, etc.)",,"Python,C",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,62,EN,I agree to participate in the described study.,United States of America,7,Software engineering,['Software'],Researcher,,"Development tools (compilers, programming languages, etc.)",,"Python,Java,SQL",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Debugging,Code Documentation,Code Review","ChatGPT,Claude,Gemini,Deepseek-R1,Copilot",,,"Web interfaces,IDE plugins/extensions",,Multiple times daily,Significantly increased productivity,Yes,"AI tools have enhanced every phase of my software development process. During requirement elicitation, they help me draft a high-level architecture even from vague descriptions (e.g., “a chatbot”). In development, they assist in choosing suitable languages and frameworks. For implementation, they support code generation and debugging, speeding up iteration and problem-solving.","['Saves_time_or_boosts_productivity', 'Choosing_software_components', 'Speed_up_coding', 'Speed_up_debugging', 'Project_architecture_or_design']",Use regularly,Never heard of it,Use occasionally,Use occasionally,Use regularly,Use regularly,Use occasionally,"Example inputs and expected outputs,Specific libraries or frameworks to use,Implementation alternatives to consider or avoid,Description of existing codebase architecture,Desired code style and naming conventions",,,,,,,,,,"Full error messages and stack traces,Steps to reproduce the issue,Environment details and configurations,Previously attempted solutions,Related logs or console output,System architecture or component interactions,Screenshots or visual evidence of the issue",,,"Code with functionality explanation,Examples of desired documentation style,Usage examples and scenarios",,,"Code to be reviewed with context,Performance expectations",,,Rarely,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,10+,"Designing software and code architectures (e.g. software design, architectural patterns),Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions),Issue diagnosis (e.g. understanding errors, identifying root causes),Bug fixing (e.g. resolving exceptions, fixing logical errors),Code-level documentation (e.g. functions, classes, inline comments),Project-level documentation (e.g. READMEs, architecture docs, API docs),Code quality evaluation (e.g. style, maintainability, complexity),Functional / performance assessment (e.g. efficiency, potential bugs, security vulnerabilities)",,Somewhat reliable,Somewhat unreliable,,,,,Somewhat reliable,Somewhat reliable,Somewhat unreliable,Somewhat unreliable,Somewhat reliable,Unsure / Haven’t tried,,Often,Often,,,,,Often,Often,Often,Often,Often,Often,
TRUE,63,EN,I agree to participate in the described study.,Bangladesh,1.5,"Enterprise, medical imaging","['Business', 'Healthcare']","Programmer,Researcher",,"Web applications,AI-intensive systems",,"Python,JavaScript",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Debugging","ChatGPT,Deepseek-R1,Copilot",,,"Web interfaces,IDE plugins/extensions",,Multiple times daily,Slightly decreased productivity,Yes,"It saves time and provides bug-free, efficient code. But it also reduces efforts ans attention span of the developers. ","['High-quality_code', 'Saves_time_or_boosts_productivity', 'Reduces_required_focus_or_memory']",Use occasionally,Heard of it but don't use,Heard of it but don't use,Use occasionally,Use occasionally,Use occasionally,Use occasionally,"Example inputs and expected outputs,Performance or optimization requirements,Target environment or deployment constraints,Description of existing codebase architecture",,,,,,,,,,"Full error messages and stack traces,Environment details and configurations,Related logs or console output",,,,,,,,,Often,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,2-3,"Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions),Bug fixing (e.g. resolving exceptions, fixing logical errors)",,Somewhat reliable,Somewhat unreliable,,,,,Somewhat unreliable,Somewhat reliable,,,,,,Often,Sometimes,,,,,Sometimes,Often,,,,,
TRUE,64,EN,I agree to participate in the described study.,United States of America,2,Government,['Government'],"Programmer,Software Architect",,Web applications,,"Python,JavaScript,SQL,Others (please specify)",PHP,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Refactoring,Software Testing ,Code Debugging","Grok,AI-integrated IDE (e.g. Windsurf) (please specify)",Cursor,,"Web interfaces,IDE plugins/extensions",,Multiple times daily,Significantly increased productivity,Yes,"Much less mental overhead on remembering syntax. Less time going over documentation because Cursor can just tell me exactly what information I want. Trivial tasks can be done super quickly, harder tasks can be effectively planned out and explained -- and implemented if you want.","['Saves_time_or_boosts_productivity', 'Speed_up_coding', 'Information_lookup', 'Reduces_required_focus_or_memory']",Never heard of it,Never heard of it,Heard of it but don't use,Use occasionally,Use occasionally,Heard of it but don't use,Heard of it but don't use,"Example inputs and expected outputs,Specific libraries or frameworks to use,Implementation alternatives to consider or avoid,Description of existing codebase architecture",,,,"The original code with explanatory comments,Description of current issues and refactoring goals,Architectural constraints and style guidelines,Examples of similar code you consider well-structured,Code that should remain unchanged during refactoring,Specific refactoring patterns to apply",,,"Code to be tested with specifications,Edge cases and expected behaviors,Examples of test cases (inputs-output mappings),Existing test suite examples",,,"Full error messages and stack traces,Steps to reproduce the issue,Environment details and configurations,Previously attempted solutions,Related logs or console output",,,,,,,,,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Often,Often,Often,Often,Sometimes,Sometimes,2-3,"Designing software and code architectures (e.g. software design, architectural patterns),Implementing new code components (e.g. includes creating data structures, writing functions),Issue diagnosis (e.g. understanding errors, identifying root causes),Bug fixing (e.g. resolving exceptions, fixing logical errors)",,Somewhat reliable,Somewhat reliable,Unsure / Haven’t tried,Somewhat reliable,Unsure / Haven’t tried,Unsure / Haven’t tried,Somewhat reliable,Somewhat reliable,,,,,,Sometimes,Sometimes,Rarely,Rarely,Never,Never,Often,Sometimes,,,,,
TRUE,65,EN,I agree to participate in the described study.,United States of America,10,LLMs Interpretability,['AI / Machine Learning'],Researcher,,AI-intensive systems,,Python,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,66,EN,I agree to participate in the described study.,Canada,15,"education, data analytics","['Education', 'Analytics']","Programmer,Educator,Researcher,Analyst",,"Web applications,AI-intensive systems,Development tools (compilers, programming languages, etc.)",,Python,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,67,EN,I agree to participate in the described study.,Germany,19,"Machinery, Academia","['Research', 'Systems']","Programmer,Tester,Software Architect,Project Technical Lead,Project Manager,Educator,Researcher",,"AI-intensive systems,Libraries/frameworks",,"Python,Java",,Yes,"2 - Somewhat proficient: I find AI tools occasionally useful, but limited and unreliable",Code Generation,Others (please specify),,Github Copilot,IDE plugins/extensions,,Multiple times daily,Slightly increased productivity,Yes,"Copy and pasting gets easier, so sometimes writing a comment for a similar snippet triggers the appropriate code generation. ",['Reduces_coding_complexity'],Use occasionally,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Use occasionally,"Example inputs and expected outputs,Specific libraries or frameworks to use,Error handling expectations",,"Typically I avoid separate prompts but rather add required information as inline comment. If it is not working that way, I just write the code myself. ","['Provide_goal', 'Avoid_prompts']",,,,,,,,,,,,,,,,Often,Sometimes,Never,Never,Never,Sometimes,Sometimes,Often,Never,Sometimes,Sometimes,Sometimes,Never,Often,Sometimes,Sometimes,Never,Sometimes,2-3,"Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions)",,Very unreliable,Very unreliable,,,,,,,,,,,,Often,Often,,,,,,,,,,,
TRUE,68,EN,I agree to participate in the described study.,Germany,18,"banking, research, studies, software development","['Software', 'Banking', 'Research']","Programmer,Tester,Software Architect,Project Technical Lead,Project Manager,Educator,Researcher",,"Web applications,Development tools (compilers, programming languages, etc.),Libraries/frameworks",,"Python,Java,Others (please specify)",Kotlin,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Software Testing ",AI-integrated IDE (e.g. Windsurf) (please specify),"Junie, JetBrains AI Assistant",,"Web interfaces,IDE plugins/extensions,API integration with development pipelines",,Multiple times daily,Slightly increased productivity,No,,,Use occasionally,Use occasionally,Use regularly,Heard of it but don't use,Use regularly,Use occasionally,Use regularly,"Example inputs and expected outputs,Specific libraries or frameworks to use",,,,,,,"Code to be tested with specifications,Edge cases and expected behaviors,Testing framework preferences and assertion styles,Test coverage goals and requirements,Examples of test cases (inputs-output mappings),Existing test suite examples,Mocking or dependency handling instructions,Environment setup requirements",,,,,,,,,,,,Often,Often,Rarely,Never,Rarely,Sometimes,Sometimes,Sometimes,Never,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,2-3,"Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions),Test creation and implementation (e.g. unit, integration, end-to-end test code)",,Very unreliable,Somewhat unreliable,,,Somewhat reliable,Somewhat reliable,,,,,,,"code completion, often works quite well",Often,Often,,,Often,Often,,,,,,,
TRUE,69,EN,I agree to participate in the described study.,Colombia,13,"Airlines, retail, social media","['Aviation', 'Social Media', 'Retail']",Other (please specify),DevOps Engineer,"Web applications,Desktop applications,Middleware",,"Python,JavaScript,Go,Others (please specify)",Bash,Yes,"2 - Somewhat proficient: I find AI tools occasionally useful, but limited and unreliable","Code Generation,Software Testing ","ChatGPT,Gemini",,,"Web interfaces,Command line tools",,A few times per week,Slightly increased productivity,No,,,Heard of it but don't use,Never heard of it,Heard of it but don't use,Never heard of it,Use occasionally,Use occasionally,Use occasionally,"Specific libraries or frameworks to use,Target environment or deployment constraints",,,,,,,Environment setup requirements,,,,,,,,,,,,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Rarely,Never,Sometimes,Sometimes,Sometimes,Rarely,Never,Sometimes,Sometimes,Never,Rarely,4-6,"Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions)",,Somewhat unreliable,Very unreliable,,,Somewhat unreliable,Somewhat unreliable,,,,,,,,Often,Often,,,Often,Often,,,,,,,
TRUE,70,EN,I agree to participate in the described study.,United Kingdom of Great Britain and Northern Ireland,9,"telecoms, finance","['Finance', 'Communication']","Programmer,Project Technical Lead",,"Web applications,Libraries/frameworks",,"Python,C#",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Refactoring","ChatGPT,Copilot",,,"Web interfaces,IDE plugins/extensions",,Multiple times daily,Slightly increased productivity,Yes,"They save time on some repetitive tasks, but also I find them getting in the way of autocomplete (tab accepting both autocomplete AND copilot suggestion is maddening). So I've found my flow slightly different, but quicker overall.","['Autocomplete_complications', 'Saves_time_or_boosts_productivity']",Heard of it but don't use,Never heard of it,Never heard of it,Never heard of it,Use regularly,Use occasionally,Never heard of it,"Specific libraries or frameworks to use,Error handling expectations,Description of existing codebase architecture",,,,Architectural constraints and style guidelines,,,,,,,,,,,,,,,Often,Sometimes,Sometimes,Never,Never,Never,Sometimes,Rarely,Rarely,Often,Sometimes,Never,Never,Often,Often,Often,Sometimes,Rarely,4-6,"Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions)",,Somewhat unreliable,Somewhat reliable,Somewhat reliable,Unsure / Haven’t tried,,,,,,,,,,Always,Often,Often,Often,,,,,,,,,
TRUE,71,EN,I agree to participate in the described study.,Colombia,24,"banking, healthcare, education, transportation","['Banking', 'Healthcare', 'Transportation', 'Education']",Software Architect,,"Web applications,Mobile applications,Middleware,Libraries/frameworks",,"Python,Java,JavaScript,Go,SQL",,Yes,"4 - Very proficient: With time, I can almost always get the desired output for most tasks","Code Generation,Code Refactoring,Software Testing ,Code Documentation","ChatGPT,Claude,Gemini,Copilot",,,"Web interfaces,Command line tools",,Multiple times daily,Significantly increased productivity,Yes," quickly generate boilerplate code, test cases, and even entire application skeletons
When facing bugs AI tools provide contextual explanations and code examples,
Generating or summarizing documentation
 spend less time on repetitive tasks and more on architecture","['Saves_time_or_boosts_productivity', 'Speed_up_testing', 'Provide_a_starting_point', 'More_documentation', 'Test_Case_Generation', 'Facilitates_alternative_focus', 'Write_boilerplate_code', 'Code_explanation']",Use occasionally,Heard of it but don't use,Use occasionally,Use regularly,Use regularly,Use regularly,Use regularly,"Example inputs and expected outputs,Specific libraries or frameworks to use,Implementation alternatives to consider or avoid,Target environment or deployment constraints,Description of existing codebase architecture",,,,"The original code with explanatory comments,Description of current issues and refactoring goals,Architectural constraints and style guidelines,Examples of similar code you consider well-structured,Specific refactoring patterns to apply",,,"Code to be tested with specifications,Examples of test cases (inputs-output mappings)",,,,,,"Code with functionality explanation,Domain-specific terminology guidelines,Usage examples and scenarios",,,,,,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Often,Rarely,Sometimes,Sometimes,Often,Sometimes,Rarely,Often,Sometimes,Rarely,Rarely,4-6,"Designing software and code architectures (e.g. software design, architectural patterns),Implementing new code components (e.g. includes creating data structures, writing functions),Test creation and implementation (e.g. unit, integration, end-to-end test code),Project-level documentation (e.g. READMEs, architecture docs, API docs)",,Somewhat reliable,Somewhat reliable,Somewhat unreliable,Somewhat reliable,Somewhat unreliable,Somewhat reliable,,,Somewhat unreliable,Somewhat reliable,,,,Often,Sometimes,Often,Rarely,Sometimes,Often,,,Often,Sometimes,,,
TRUE,72,EN,I agree to participate in the described study.,Bangladesh,2,Banking / Learning Management,"['Healthcare', 'Management', 'Banking']",Programmer,,Web applications,,"Python,C++,JavaScript",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Refactoring,Code Debugging","ChatGPT,Claude,Gemini",,,"Web interfaces,IDE plugins/extensions",,Multiple times daily,Slightly increased productivity,Yes,"AI tools changed my approach to software development significantly, mainly in debugging tasks.

Previously, I found it very difficult to resolve issues , I think AI tools helped me to overcome this.",['Reduces_coding_complexity'],Use regularly,Use occasionally,Heard of it but don't use,Heard of it but don't use,Use regularly,Heard of it but don't use,Use occasionally,"Example inputs and expected outputs,Specific libraries or frameworks to use,Implementation alternatives to consider or avoid,Description of existing codebase architecture",,"Please provide me code of ""Task"" in ""Specific Langage""","['Provide goal', 'Specify language']","The original code with explanatory comments,Description of current issues and refactoring goals",,,,,,"Full error messages and stack traces,Related logs or console output",,,,,,,,,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Sometimes,Sometimes,Often,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,2-3,"Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions),Bug fixing (e.g. resolving exceptions, fixing logical errors)",,Somewhat reliable,Very unreliable,Somewhat unreliable,Somewhat unreliable,,,Very unreliable,Somewhat unreliable,,,,,,Often,Sometimes,Sometimes,Sometimes,,,Often,Always,,,,,
TRUE,73,EN,I agree to participate in the described study.,United States of America,10,transportation,['Transportation'],Project Technical Lead,,"Web applications,Desktop applications,Libraries/frameworks",,JavaScript,,Yes,"2 - Somewhat proficient: I find AI tools occasionally useful, but limited and unreliable","Code Generation,Code Refactoring,Software Testing ,Code Debugging","ChatGPT,AI-integrated IDE (e.g. Windsurf) (please specify)",Amazon Q,,IDE plugins/extensions,,A few times per week,Slightly increased productivity,Yes,"Instead of thinking about the code structure, I'm thinking about what the right prompts will be.",['Prompt_engineering'],Use regularly,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Use regularly,Heard of it but don't use,Use regularly,"Example inputs and expected outputs,Performance or optimization requirements,Implementation alternatives to consider or avoid,Description of existing codebase architecture,Desired code style and naming conventions",,,,"Description of current issues and refactoring goals,Examples of similar code you consider well-structured,Specific refactoring patterns to apply",,,"Code to be tested with specifications,Testing framework preferences and assertion styles,Examples of test cases (inputs-output mappings),Existing test suite examples",,,"Full error messages and stack traces,Related logs or console output",,,,,,,,,Never,Often,Often,Never,Often,Often,Never,Often,Sometimes,Often,Often,Often,Never,Often,Often,Often,Often,Often,4-6,"Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions),Optimizing existing code (e.g. performance improvements, reducing complexity),Test creation and implementation (e.g. unit, integration, end-to-end test code),Issue diagnosis (e.g. understanding errors, identifying root causes),Bug fixing (e.g. resolving exceptions, fixing logical errors)",,Somewhat unreliable,Unsure / Haven’t tried,Somewhat unreliable,Somewhat unreliable,Very unreliable,Very unreliable,Somewhat unreliable,Very unreliable,,,,,,Sometimes,Often,Often,Often,Often,Often,Often,Often,,,,,
TRUE,74,EN,I agree to participate in the described study.,United States of America,15,"Insurance, Law, Technology","['Technology', 'Legal', 'Insurance']","Programmer,Project Technical Lead",,"Web applications,Desktop applications,AI-intensive systems",,"Python,C++,JavaScript",,Yes,"4 - Very proficient: With time, I can almost always get the desired output for most tasks","Code Generation,Code Refactoring,Code Documentation,Code Review","Claude,Copilot",,,IDE plugins/extensions,,Multiple times daily,Slightly increased productivity,Yes,"I can ask the LLM to quickly replicate something already in the code base and adjust it to my needs (aka a very smart copy and paste)

Definitely facilitates refactors. Instead of refactoring myself I can just babysit the agent and make adjustments here and there. 

Code completion is multiple times better than 5 years ago

Looking for code and related documentation is many times more effective. This is a big productivity jump. Instead of relying on my memory to obtain file names and folder locations, I can ask the agent to go and search relevant artifacts.

Code review agents are so pedantic sometimes and complain about so much stuff that you just end up learning new things about potential bugs in the code you just submitted. ","['Code_generation', 'Speed_up_refactoring', 'Saves_time_or_boosts_productivity', 'Information_lookup', 'Speed_up_coding', 'Learn_new_things']",Use occasionally,Use occasionally,Heard of it but don't use,Use regularly,Use regularly,Use regularly,Heard of it but don't use,"Example inputs and expected outputs,Implementation alternatives to consider or avoid,Error handling expectations,Desired code style and naming conventions",,Best experience is with reasoning agents that provided a chat-based interaction. Better to start a chat and refine the goals of the conversation than trying to come up with a single prompt that does everything. ,"['Multiple_prompts', 'Provide_goal', 'Reasoning_agent']",The original code with explanatory comments,,"I expect this to be a babysitting session with multiple requests. I rely on inspections, UTs and other test executions to validate the refactor, so I rather not pass those to the model. ",,,,,,,Other (please specify):,Just the code.," I am expecting the model to do everything, otherwise it won't be productive at all if I need to pass explanations, descriptions or similar things. I prefer to babysit the agent, inspect and refine the output incrementally.  ","Code to be reviewed with context,Project coding standards and guidelines",,,Rarely,Often,Often,Sometimes,Rarely,Often,Never,Never,Never,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Rarely,Sometimes,Sometimes,2-3,"Standardizing and cleaning code (e.g. style improvements, naming conventions, removing duplication),Code-level documentation (e.g. functions, classes, inline comments),Project-level documentation (e.g. READMEs, architecture docs, API docs),Functional / performance assessment (e.g. efficiency, potential bugs, security vulnerabilities)",,Somewhat unreliable,Somewhat reliable,Very unreliable,Unsure / Haven’t tried,,,,,Unsure / Haven’t tried,Somewhat reliable,Unsure / Haven’t tried,Unsure / Haven’t tried,,Often,Sometimes,Rarely,Sometimes,,,,,Often,Often,Sometimes,Sometimes,
TRUE,75,EN,I agree to participate in the described study.,United States of America,1,Telecommunication,['Communication'],Programmer,,"Web applications,Mobile applications",,"Python,Java",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,76,EN,I agree to participate in the described study.,United States of America,2,Internet of Things,"['Healthcare', 'Internet of Things']",Programmer,,Mobile applications,,Others (please specify),Swift,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,77,EN,I agree to participate in the described study.,United States of America,10,"Healthcare, IoT",['Internet of Things'],Project Manager,,"Web applications,Desktop applications,Middleware",,"Python,C++,C,Java,JavaScript",,Yes,"4 - Very proficient: With time, I can almost always get the desired output for most tasks","Code Generation,Code Refactoring,Code Debugging","ChatGPT,Gemini,Llama,Copilot",,,My workflow does not incorporate AI tools,,Multiple times daily,Significantly increased productivity,Yes,"It reduces the burden of developing routine tasks.
",['Saves_time_or_boosts_productivity'],Use regularly,Never heard of it,Use occasionally,Heard of it but don't use,Heard of it but don't use,Use occasionally,Use occasionally,"Example inputs and expected outputs,Specific libraries or frameworks to use,Error handling expectations,Target environment or deployment constraints,Description of existing codebase architecture",,,,"The original code with explanatory comments,Description of current issues and refactoring goals,Architectural constraints and style guidelines,Examples of similar code you consider well-structured",,,,,,"Full error messages and stack traces,Environment details and configurations,Previously attempted solutions,Related logs or console output,System architecture or component interactions,Screenshots or visual evidence of the issue",,,,,,,,,Rarely,Often,Often,Rarely,Sometimes,Often,Never,Often,Rarely,Often,Often,Often,Sometimes,Often,Often,Often,Sometimes,Often,4-6,"Implementing new code components (e.g. includes creating data structures, writing functions),Optimizing existing code (e.g. performance improvements, reducing complexity),Standardizing and cleaning code (e.g. style improvements, naming conventions, removing duplication),Issue diagnosis (e.g. understanding errors, identifying root causes),Bug fixing (e.g. resolving exceptions, fixing logical errors)",,Somewhat unreliable,Very reliable,Somewhat unreliable,Very unreliable,,,Somewhat unreliable,Somewhat reliable,,,,,,Rarely,Often,Often,Always,,,Often,Often,,,,,
